total_customers,customer_gender,customer_count,percentage,customer_country,customer_status,count,customer_type,customer_lang,year,new_customers,month,age_group,avg_age,period,customer_identification_type,customer_identifier,id_count,customer_proof_of_id_type,active_count,customers_with_expired_id,customer_contact_type,active_contacts,contact_type_count,customer_address_type,address_type_count,customer_classification_type,customer_classification_value,customer_name_type,name_type_count,pct_within_country,prev_year_count,growth_pct,quarter,total,active,inactive,customers_without_contact,customers_without_address,customers_without_identification,completeness_score,crud_flag,addresses_added,expiring_soon
,,,,AF,BLOCKED,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AF,ACTIVE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AF,INACTIVE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AF,DEACTIVATED,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AU,INACTIVE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AU,BLOCKED,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AU,DEACTIVATED,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AU,ACTIVE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DE,INACTIVE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DE,ACTIVE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DE,DEACTIVATED,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DE,BLOCKED,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FR,ACTIVE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FR,BLOCKED,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FR,INACTIVE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GE,BLOCKED,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GE,INACTIVE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GE,DEACTIVATED,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GE,ACTIVE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IN,ACTIVE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IN,BLOCKED,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IN,DEACTIVATED,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JP,DEACTIVATED,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JP,BLOCKED,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JP,INACTIVE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RU,ACTIVE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RU,BLOCKED,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RU,DEACTIVATED,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UK,INACTIVE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UK,DEACTIVATED,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UK,BLOCKED,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,US,ACTIVE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,US,BLOCKED,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,US,DEACTIVATED,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,US,INACTIVE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=== Q35_language_pct_by_country: Language Preference Percentage per Country ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AF,,4,,HI,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,,,,AF,,2,,ES,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,AF,,2,,DE,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,AF,,2,,KA,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,AF,,1,,FR,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,
,,,,AF,,1,,TE,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,
,,,,AU,,4,,DE,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,
,,,,AU,,2,,KA,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
,,,,AU,,1,,ES,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
,,,,AU,,1,,HI,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
,,,,AU,,1,,FR,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
,,,,AU,,1,,EN,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
,,,,DE,,3,,HI,,,,,,,,,,,,,,,,,,,,,,21.43,,,,,,,,,,,,,
,,,,DE,,3,,TU,,,,,,,,,,,,,,,,,,,,,,21.43,,,,,,,,,,,,,
,,,,DE,,2,,EN,,,,,,,,,,,,,,,,,,,,,,14.29,,,,,,,,,,,,,
,,,,DE,,2,,DE,,,,,,,,,,,,,,,,,,,,,,14.29,,,,,,,,,,,,,
,,,,DE,,2,,KA,,,,,,,,,,,,,,,,,,,,,,14.29,,,,,,,,,,,,,
,,,,DE,,1,,FR,,,,,,,,,,,,,,,,,,,,,,7.14,,,,,,,,,,,,,
,,,,DE,,1,,TE,,,,,,,,,,,,,,,,,,,,,,7.14,,,,,,,,,,,,,
,,,,FR,,2,,KA,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,,,,FR,,1,,EN,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,FR,,1,,TU,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,FR,,1,,TE,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,FR,,1,,ES,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,GE,,4,,ES,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,,,,GE,,2,,EN,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,GE,,2,,FR,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,GE,,1,,KA,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,
,,,,GE,,1,,DE,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,
,,,,GE,,1,,TE,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,
,,,,GE,,1,,TU,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,
,,,,IN,,3,,DE,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,
,,,,IN,,2,,ES,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,,,,IN,,1,,TE,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,JP,,3,,DE,,,,,,,,,,,,,,,,,,,,,,27.27,,,,,,,,,,,,,
,,,,JP,,3,,HI,,,,,,,,,,,,,,,,,,,,,,27.27,,,,,,,,,,,,,
,,,,JP,,2,,EN,,,,,,,,,,,,,,,,,,,,,,18.18,,,,,,,,,,,,,
,,,,JP,,2,,TU,,,,,,,,,,,,,,,,,,,,,,18.18,,,,,,,,,,,,,
,,,,JP,,1,,ES,,,,,,,,,,,,,,,,,,,,,,9.09,,,,,,,,,,,,,
,,,,RU,,2,,KA,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,,,,RU,,2,,EN,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,
,,,,RU,,1,,ES,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,RU,,1,,DE,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,UK,,4,,FR,,,,,,,,,,,,,,,,,,,,,,36.36,,,,,,,,,,,,,
,,,,UK,,2,,ES,,,,,,,,,,,,,,,,,,,,,,18.18,,,,,,,,,,,,,
,,,,UK,,2,,DE,,,,,,,,,,,,,,,,,,,,,,18.18,,,,,,,,,,,,,
,,,,UK,,1,,HI,,,,,,,,,,,,,,,,,,,,,,9.09,,,,,,,,,,,,,
,,,,UK,,1,,TE,,,,,,,,,,,,,,,,,,,,,,9.09,,,,,,,,,,,,,
,,,,UK,,1,,KA,,,,,,,,,,,,,,,,,,,,,,9.09,,,,,,,,,,,,,
,,,,US,,3,,DE,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
,,,,US,,3,,HI,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
,,,,US,,2,,EN,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,US,,2,,TE,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,
,,,,US,,1,,KA,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,
,,,,US,,1,,ES,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=== Q36_active_vs_inactive_by_country: Active vs Inactive Customers per Country ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3.0,11.0,,,,,,,
,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4.0,8.0,,,,,,,
,,,,AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5.0,7.0,,,,,,,
,,,,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1.0,11.0,,,,,,,
,,,,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.0,11.0,,,,,,,
,,,,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.0,11.0,,,,,,,
,,,,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2.0,8.0,,,,,,,
,,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3.0,3.0,,,,,,,
,,,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3.0,3.0,,,,,,,
,,,,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3.0,3.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=== Q37_customers_no_contact: Customers with No Contact Information ===,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=== Q38_customers_no_address: Customers with No Address on Record ===,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=== Q39_customers_no_identification: Customers with No Identification Document ===,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,=== Q40_completeness_score_per_customer: Profile Completeness Score per Customer ===,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,JP,DEACTIVATED,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,AF,BLOCKED,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,DE,ACTIVE,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,US,DEACTIVATED,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,FR,INACTIVE,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,GE,BLOCKED,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,JP,BLOCKED,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,AU,DEACTIVATED,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,DE,INACTIVE,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,JP,INACTIVE,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,GE,BLOCKED,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,DE,INACTIVE,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,DE,INACTIVE,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,DE,INACTIVE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,FR,ACTIVE,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,US,ACTIVE,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,UK,BLOCKED,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,DE,INACTIVE,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,AU,ACTIVE,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,RU,ACTIVE,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,UK,DEACTIVATED,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,AU,INACTIVE,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,US,BLOCKED,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,IN,ACTIVE,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,DE,BLOCKED,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,US,DEACTIVATED,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,GE,BLOCKED,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,RU,ACTIVE,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,JP,BLOCKED,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,AF,ACTIVE,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,AF,ACTIVE,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,GE,ACTIVE,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,UK,INACTIVE,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,GE,BLOCKED,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,AF,BLOCKED,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,DE,DEACTIVATED,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,GE,INACTIVE,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,GE,BLOCKED,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,US,ACTIVE,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,DE,BLOCKED,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,GE,DEACTIVATED,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,AF,ACTIVE,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,AU,INACTIVE,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,UK,INACTIVE,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,AF,ACTIVE,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,AU,BLOCKED,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,DE,INACTIVE,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,DE,ACTIVE,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,GE,BLOCKED,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,UK,DEACTIVATED,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,US,INACTIVE,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,DE,ACTIVE,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,FR,BLOCKED,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,FR,BLOCKED,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,AU,INACTIVE,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,FR,ACTIVE,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,GE,INACTIVE,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,JP,DEACTIVATED,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,GE,DEACTIVATED,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,AU,ACTIVE,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,IN,ACTIVE,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,JP,DEACTIVATED,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,AU,BLOCKED,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,IN,DEACTIVATED,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,UK,INACTIVE,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,AF,INACTIVE,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,IN,BLOCKED,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,US,INACTIVE,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,AU,DEACTIVATED,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,JP,BLOCKED,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,DE,DEACTIVATED,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,UK,BLOCKED,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,US,ACTIVE,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,UK,INACTIVE,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,US,ACTIVE,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,AU,BLOCKED,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,RU,BLOCKED,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,JP,BLOCKED,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,AF,ACTIVE,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,JP,DEACTIVATED,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,RU,BLOCKED,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,UK,INACTIVE,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,GE,BLOCKED,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,AF,BLOCKED,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,AF,BLOCKED,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,US,BLOCKED,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,US,DEACTIVATED,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,RU,DEACTIVATED,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,FR,ACTIVE,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,AF,BLOCKED,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,UK,DEACTIVATED,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,IN,BLOCKED,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,JP,INACTIVE,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,IN,ACTIVE,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,M,,,US,BLOCKED,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,AF,DEACTIVATED,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,RU,ACTIVE,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,O,,,JP,DEACTIVATED,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,F,,,UK,INACTIVE,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,N,,,DE,DEACTIVATED,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=== Q41_completeness_score_distribution: Distribution of Profile Completeness Scores ===,,,
,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=== Q42_crud_flag_distribution: CRUD Flag Distribution in Customer Detail ===,,
,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,=== Q43_monthly_address_records: Monthly Address Records Added (Last 3 Years) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,=== Q44_contact_expiring_90_days: Contact Records Expiring Within 90 Days ===,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,=== Q45_proof_of_id_expiring_90_days: Proof of ID Records Expiring Within 90 Days ===,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
